"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:02:02.000,0.000,0.000000
28 Sep 2019 07:02:03.000,0.000,0.000000
28 Sep 2019 07:02:04.000,0.000,0.000000
28 Sep 2019 07:02:05.000,0.000,0.000000
28 Sep 2019 07:02:06.000,0.000,0.000000
28 Sep 2019 07:02:07.000,0.000,0.000000
28 Sep 2019 07:02:08.000,0.000,0.000000
28 Sep 2019 07:02:09.000,0.000,0.000000
28 Sep 2019 07:02:10.000,0.000,0.000000
28 Sep 2019 07:02:11.000,0.000,0.000000
28 Sep 2019 07:02:12.000,0.000,0.000000
28 Sep 2019 07:02:13.000,0.000,0.000000
28 Sep 2019 07:02:14.000,0.000,0.000000
28 Sep 2019 07:02:15.000,0.000,0.000000
28 Sep 2019 07:02:16.000,0.000,0.000000
28 Sep 2019 07:02:17.000,0.000,0.000000
28 Sep 2019 07:02:18.000,0.000,0.000000
28 Sep 2019 07:02:19.000,0.000,0.000000
28 Sep 2019 07:02:20.000,0.000,0.000000
28 Sep 2019 07:02:21.000,0.000,0.000000
28 Sep 2019 07:02:22.000,0.000,0.000000
28 Sep 2019 07:02:23.000,0.000,0.000000
28 Sep 2019 07:02:24.000,0.000,0.000000
28 Sep 2019 07:02:25.000,0.000,0.000000
28 Sep 2019 07:02:26.000,0.000,0.000000
28 Sep 2019 07:02:27.000,0.000,0.000000
28 Sep 2019 07:02:28.000,0.000,0.000000
28 Sep 2019 07:02:29.000,0.000,0.000000
28 Sep 2019 07:02:30.000,0.000,0.000000
28 Sep 2019 07:02:31.000,0.000,0.000000
28 Sep 2019 07:02:32.000,0.000,0.000000
28 Sep 2019 07:02:33.000,0.000,0.000000
28 Sep 2019 07:02:34.000,0.000,0.000000
28 Sep 2019 07:02:35.000,0.000,0.000000
28 Sep 2019 07:02:36.000,0.000,0.000000
28 Sep 2019 07:02:37.000,0.000,0.000000
28 Sep 2019 07:02:38.000,0.000,0.000000
28 Sep 2019 07:02:39.000,0.000,0.000000
28 Sep 2019 07:02:40.000,0.000,0.000000
28 Sep 2019 07:02:41.000,0.000,0.000000
28 Sep 2019 07:02:42.000,0.000,0.000000
28 Sep 2019 07:02:43.000,0.000,0.000000
28 Sep 2019 07:02:44.000,0.000,0.000000
28 Sep 2019 07:02:45.000,0.000,0.000000
28 Sep 2019 07:02:46.000,0.000,0.000000
28 Sep 2019 07:02:47.000,0.000,0.000000
28 Sep 2019 07:02:48.000,0.000,0.000000
28 Sep 2019 07:02:49.000,0.000,0.000000
28 Sep 2019 07:02:50.000,0.000,0.000000
28 Sep 2019 07:02:51.000,0.000,0.000000
28 Sep 2019 07:02:52.000,0.000,0.000000
28 Sep 2019 07:02:53.000,0.000,0.000000
28 Sep 2019 07:02:54.000,0.000,0.000000
28 Sep 2019 07:02:55.000,0.000,0.000000
28 Sep 2019 07:02:56.000,0.000,0.000000
28 Sep 2019 07:02:57.000,0.000,0.000000
28 Sep 2019 07:02:58.000,0.000,0.000000
28 Sep 2019 07:02:59.000,0.000,0.000000
28 Sep 2019 07:03:00.000,0.000,0.000000
28 Sep 2019 07:03:01.000,0.000,0.000000
28 Sep 2019 07:03:02.000,0.000,0.000000
28 Sep 2019 07:03:03.000,0.000,0.000000
28 Sep 2019 07:03:04.000,0.000,0.000000
28 Sep 2019 07:03:05.000,0.000,0.000000
28 Sep 2019 07:03:06.000,0.000,0.000000
28 Sep 2019 07:03:07.000,0.000,0.000000
28 Sep 2019 07:03:08.000,0.000,0.000000
28 Sep 2019 07:03:09.000,0.000,0.000000
28 Sep 2019 07:03:10.000,0.000,0.000000
28 Sep 2019 07:03:11.000,0.000,0.000000
28 Sep 2019 07:03:12.000,0.000,0.000000
28 Sep 2019 07:03:13.000,0.000,0.000000
28 Sep 2019 07:03:14.000,0.000,0.000000
28 Sep 2019 07:03:15.000,0.000,0.000000
28 Sep 2019 07:03:16.000,0.000,0.000000
28 Sep 2019 07:03:17.000,0.000,0.000000
28 Sep 2019 07:03:18.000,0.000,0.000000
28 Sep 2019 07:03:19.000,0.000,0.000000
28 Sep 2019 07:03:20.000,0.000,0.000000
28 Sep 2019 07:03:21.000,0.000,0.000000
28 Sep 2019 07:03:22.000,0.000,0.000000
28 Sep 2019 07:03:23.000,0.000,0.000000
28 Sep 2019 07:03:24.000,0.000,0.000000
28 Sep 2019 07:03:25.000,0.000,0.000000
28 Sep 2019 07:03:26.000,0.000,0.000000
28 Sep 2019 07:03:27.000,0.000,0.000000
28 Sep 2019 07:03:28.000,0.000,0.000000
28 Sep 2019 07:03:29.000,0.000,0.000000
28 Sep 2019 07:03:30.000,0.000,0.000000
28 Sep 2019 07:03:31.000,0.000,0.000000
28 Sep 2019 07:03:32.000,0.000,0.000000
28 Sep 2019 07:03:33.000,0.000,0.000000
28 Sep 2019 07:03:34.000,0.000,0.000000
28 Sep 2019 07:03:35.000,0.000,0.000000
28 Sep 2019 07:03:36.000,0.000,0.000000
28 Sep 2019 07:03:37.000,0.000,0.000000
28 Sep 2019 07:03:38.000,0.000,0.000000
28 Sep 2019 07:03:39.000,0.000,0.000000
28 Sep 2019 07:03:40.000,0.000,0.000000
28 Sep 2019 07:03:41.000,0.000,0.000000
28 Sep 2019 07:03:42.000,0.000,0.000000
28 Sep 2019 07:03:43.000,0.000,0.000000
28 Sep 2019 07:03:44.000,0.000,0.000000
28 Sep 2019 07:03:45.000,0.000,0.000000
28 Sep 2019 07:03:46.000,0.000,0.000000
28 Sep 2019 07:03:47.000,0.000,0.000000
28 Sep 2019 07:03:48.000,0.000,0.000000
28 Sep 2019 07:03:49.000,0.000,0.000000
28 Sep 2019 07:03:50.000,0.000,0.000000
28 Sep 2019 07:03:51.000,0.000,0.000000
28 Sep 2019 07:03:52.000,0.000,0.000000
28 Sep 2019 07:03:53.000,0.000,0.000000
28 Sep 2019 07:03:54.000,0.000,0.000000
28 Sep 2019 07:03:55.000,0.000,0.000000
28 Sep 2019 07:03:56.000,0.000,0.000000
28 Sep 2019 07:03:57.000,0.000,0.000000
28 Sep 2019 07:03:58.000,0.000,0.000000
28 Sep 2019 07:03:59.000,0.000,0.000000
28 Sep 2019 07:04:00.000,0.000,0.000000
28 Sep 2019 07:04:01.000,0.000,0.000000
28 Sep 2019 07:04:02.000,0.000,0.000000
28 Sep 2019 07:04:03.000,0.000,0.000000
28 Sep 2019 07:04:04.000,0.000,0.000000
28 Sep 2019 07:04:05.000,0.000,0.000000
28 Sep 2019 07:04:06.000,0.000,0.000000
28 Sep 2019 07:04:07.000,0.000,0.000000
28 Sep 2019 07:04:08.000,0.000,0.000000
28 Sep 2019 07:04:09.000,0.000,0.000000
28 Sep 2019 07:04:10.000,0.000,0.000000
28 Sep 2019 07:04:11.000,0.000,0.000000
28 Sep 2019 07:04:12.000,0.000,0.000000
28 Sep 2019 07:04:13.000,0.000,0.000000
28 Sep 2019 07:04:14.000,0.000,0.000000
28 Sep 2019 07:04:15.000,0.000,0.000000
28 Sep 2019 07:04:16.000,0.000,0.000000
28 Sep 2019 07:04:17.000,0.000,0.000000
28 Sep 2019 07:04:18.000,0.000,0.000000
28 Sep 2019 07:04:19.000,0.000,0.000000
28 Sep 2019 07:04:20.000,0.000,0.000000
28 Sep 2019 07:04:21.000,0.000,0.000000
28 Sep 2019 07:04:22.000,0.000,0.000000
28 Sep 2019 07:04:23.000,0.000,0.000000
28 Sep 2019 07:04:24.000,0.000,0.000000
28 Sep 2019 07:04:25.000,0.000,0.000000
28 Sep 2019 07:04:26.000,0.000,0.000000
28 Sep 2019 07:04:27.000,0.000,0.000000
28 Sep 2019 07:04:28.000,0.000,0.000000
28 Sep 2019 07:04:29.000,0.000,0.000000
28 Sep 2019 07:04:30.000,0.000,0.000000
28 Sep 2019 07:04:31.000,0.000,0.000000
28 Sep 2019 07:04:32.000,0.000,0.000000
28 Sep 2019 07:04:33.000,0.000,0.000000
